Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
Alien,1979,Ridley Scott,7.5,7,,,,8,,,,,,
Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch,7.5,,,,,7.5,,,,,,
Bad Boys,1995,Michael Bay,7.5,,,,8.5,6.5,,,,,,
The Rabbi's Cat,2011,"Antoine Delesvaux, Joann Sfar",7.5,7,,8,,,,,,,,
Castle in the Sky,1986,Hayao Miyazaki,7.5,7.4,,7.6,,,,,,,,
The Hours,2002,Stephen Daldry,7.5,,,7.5,,,,,,,,
Metropolis,1927,Fritz Lang,7.5,8,,7,,,,,,,,
The Illusionist ,2010,,7.5,7.5,,,,,,,,,,
Dark Waters,2019,Todd Haynes,7.5,7.5,,,,,,,,,,
Cinderella Man,2005,,7.5,7.5,,,,,,,,,,
As Far As My Feet Will Carry Me,2001,,7.5,7.5,,,,,,,,,,
Falling Down,1993,Joel Schumacher,7.5,7.5,,,,,,,,,,
The Art of Self-defense,2019,Riley Stearns,7.5,7.5,,,,,,,,,,
Modigliani,2004,Mick Davis,7.5,,,7.5,,,,,,,,
From Hell,2001," Albert Hughes, Allen Hughes",7.5,,,7.5,,,,,,,,
